According to this table, how many champions?	List those champions for different All-Star games.	List champions for different All-Star games.  74
how many townships has the latitude higher than 47 and longitude higher than -98	if longitude higher than -99	how many townships has the latitude higher than 47 and longitude higher than -99	19
In which year the station aston was open ?	how many zones did that station have ?	how many zones did aston have ?	13
televote more than 50, total more than 60, find all the available artists	if total more than 70	televote more than 50, total more than 70, find all the available artists	25
for each home, show the sum of points .	show the amount of record	for each home, show the the amount of record .	119
who directed the episode that had 0.54 million u.s. viewers ?	how about more than 0.49 ?	who directed the episode that had more than 0.49 million u.s. viewers ?	40
compare the 150m with 200 metre time for michael phelps .	for jamaal sobers	compare the 150m with 200 metre time for jamaal sobers .	116
what country was the top in change (2011 to 2012)?	in change (2010 to 2011)?	what country was the top in change (2010 to 2011)?	9
show the play, drawn and lost, in which goals for is 70 and goals against is 62 .	when goals for is 54 ?	show the play, drawn and lost, in which goals for is 54 and goals against is 62 .	36
what are all of the mascot groups in aa?	leave the ones from howard .	what are all of the mascot groups in aa from howard .	35
which home teams have earned score 3 - 1	what about scode 1-3	which home teams have earned score 1-3	88
which positions have made max touchdowns ?	in the condition of touch downs less than 4 .	which positions have made max touchdowns in the condition of touch downs less than 4 .	8
name the least wins	what about the points	what's the points of the least wins	87
how much first elected has a result of re-elected , and a party of republican , and a district of illinois 4 ?	get rid of the party limit	how much first elected has a result of re-elected , and a district of illinois 4 ?	103
name the players who was the role of executive .	what is the inducted as of him ?	what is the inducted as of players who was the role of executive?	97
first opponent in the season	in war memorial stadium	first opponent in war memorial stadium in the season	51
how many recording has the classification of twelve-bar blues ?	how many of them has the classification of non-blues ?	how many recording has the classification of non-blues ?	92
which buildings has floors more than 40 and in tardeo .	calculate the floors average of them .	calculate the floors average of the buildings which has floors more than 40 and in tardeo.	38
which season has no points?	of those seasons which series ranks after 50th ?	which season has no points and ranks after 50th?	70
what 's the biggest zone ?	could you tell me the smallest one ?	could you tell me the smallest zone ?	13
what is the score of game 4 ?	show the location attendance	show the location attendance of game 4	54
which episode # has the least viewers in millions ?	also show series # ?	which episode # and series # has the least viewers in millions ?	111
name the date for washington	by date descending	name the date for washington in descending order	54
how many times does kurt sutter appear in the table ?	I'm talking about the director kurt sutter	how many times does director kurt sutter appear in the table ?	91
what stadium had a result of w 20–16 ?	how much attendance	what stadium had a result of w 20–16 and how much the attendance?	5
The year closest to now in the list	I mean the arrival year	The arrival year closest to now in the list	59
what was the largest shot from quebec ?	the average ?	what was the average shot from quebec ?	42
what was the total amount of points for all seasons	how about the average poins?	what was the average points for all seasons	85
which cfl team has a position of dl ?	how about central florida college?	which cfl team in central florida college has a position of dl?	1
how many titles has the director as lewis milestone ?	how about john farrow ?	how many titles has the director as john farrow ?	43
show the opponent, result and record in the week 5 .	how does that in week 7 .	show the opponent, result and record in the week 7 .	5
in a ascending order, sort constituency by the against (%).	as the order of descending	in a descending order, sort constituency by the against (%).	11
which event has a competition of chicago marathon , and a year larger than 2004 ?	show them for all years .	which events has a competition of chicago marathon ?	104
Which two races were held on date friday, 28 january	sum of their crowd	sum of crowd of two races were held on date friday, 28 january	16
which member state occupies up to 14.6 of area of eu ?	how many population in thousands does it have ?	how many population in thousands does member state which occupies up to 14.6 of area of eu have ?	79
how many seasons has detroit shock won the champion ?	what 's that for houston comets ?	how many seasons has houston comets won the champion ?	74
the average year inducted for all players .	the latest year ?	the latest year inducted for all players .	97
what was the location and attendance at the game where the final score is w 118-112 ?	I'd like the team whose final score is it	I'd like the team whose score is w 118-112	54
display independent green, libertarian and other party when they are all not none	remove other party	display independent green, libertarian when they are all not none	84
how many of the incumbents between 1860 to 1880 ?	to 1890 ?	how many of the incumbents between 1860 to 1890 ?	103
In these east conference full members, how many were joined before 2000 ?	and after 1990 ?	In these east conference full members, how many were joined before 2000 and after 1990 ?	100
How many times did monika thiere play in womens singles?	What about monika cassens in that?	How many times did monika cassens play in womens singles?	10
how many values of hosted have a highest value of 42659 ?	if the highest value is 26554 ?	how many values of hosted have a highest value of 26554 ?	76
calculate the sum of sales and assets for each company .	for every industry?	calculate the sum of sales and profits for every industry .	31
tony boselli was pick number 25, true or false ?	which player was picked next?	which player was picked 26?	33
top 3 attendance by stadium	5	top 5 attendance by stadium	5
grouped all ships by their fate and nationality .	how about by the tonnage ?	grouped all ships by their tonnage .	102
list the players who got top 5 money	be limited to united states	list the players from united states who got top 5 money	98
count of years of heptathlon vs pentathlon .	when the result is in top 4 ?	count of years of heptathlon vs pentathlon when the result is in top 4 .	48
statistics the sum of attendance in week 1, 2 and 3.	just in week 4.	statistics the sum of attendance in week 4.	47
how many different scores were earned in total ?	calculate them in each record	how many different scores were earned in each record ?	95
in the hurling championship, which player created the tally 0-10	where is he come from	in the hurling championship, the country of the player who created the tally 0-10	78
what is the sum of publications in united kingdom and in norway ?	add the united states	what is the sum of publications in united kingdom and in norway and in united states?	32
how many school has enrollment above 590?	how many above 400 ?	how many school has enrollment above 400 ?	35
for each pick #, show its number of cfl teams	show number of different colleges	for each pick #, show its number of different colleges	1
Which state has the most score in swimsuit ?	How about in interview ?	Which state has the most score in interview ?	28
how many dates have more attendances than 78,132 ?	than 65,648 ?	how many dates have more attendances than 65,648 ?	47
list the series which came in 1st position.	please show me which season are they in	list the season which came in 1st position.	70
where result is nominated and organization is 54th the television academy drama awards , what is the award ?	how does that for 3rd tama film award	where result is nominated and organization is 3rd tama film award , what is the award ?	118
what is the maximum viewers in the list ?	except for the number, which one is the maximum ?	except for the maximum viewers, which viewers is the maximum ?	40
what are all the schools in table ?	how many from cass ?	how many schools in table are from cass ?	35
find the score, attendance and record when the opponent is detroit turbos	also find the # .	find the score, attendance and record and # when the opponent is detroit turbos	95
In european union, which member state has the largest population ?	limit them into which have area km 2 more than 4000	In european union, which member state that have area km 2 more than 4000 has the largest population ?	79
how much money has Horton Smith earned ?	compare it with Bill Collins .	compare money Smith earned with Bill Collins.	98
for the drivers ewan fraser, how many laps did he run	what about driver frank gardner	for the drivers frank gardner, how many laps did he run	83
what was the kickoff time for the december 14 , 2003 game ?	what was the result in the same date ?	what was the result in december 14 , 2003 ?	47
which district has the only status of open	what about the other status	which district has the status besides open	84
In which date, the game has the most attendance	what about the least attendance	In which date, the game has the least attendance	82
In 1995, is there any network named CBC ?	Any TSN ?	In 1995, is there any network named TSN ?	30
please list the total number of title with the production code 211 .	let me see the title which has that production code.	let me see the title which has production code 211	3
compare the points for of team newport to dax	compare team bourgoin to aberavon	compare the points for of team bourgoin to aberavon	56
sum of league cups from all names .	how about fa cup ?	sum of fa cups from all names .	105
when buffalo bills is the opponent, what is the result ?	when at dallas cowboys is ?	when at dallas cowboys is the opponent, what is the result ?	47
group the players based on the nfl team .	how about on position ?	group the players based on position .	114
which member is the only one from new london ?	list other members ?	list members excluding the one from new london	100
which team finished 5th or lower according to sec wins in the conference	what about 5th or higher	which team finished 5th or higher according to sec wins in the conference	81
who was the next person that won after aliza moses in womens singles?	the previous person	who was the pervious person that won after aliza moses in womens singles?	10
what is the name of the episode written by ross brown ?	count of name	what is the count of the name of the episode written by ross brown?	41
how much greater is the crowd of newcastle than leeds ?	out of those cities, show the crowd .	out of newcastle and leeds , show the crowd .	99
which season has more slalom than giant slalom ?	what are their super g?	which super g has more slalom than giant slalom ?	90
sort different players by their points in a descending order	ascending order	sort different players by their points in a ascending order	8
has pat fox ever won the rank 4 ?	what about behind it	has pat fox ever won behind the rank 4 ?	78
In which game the new york rangers has the opponent boston bruins ?	when st. louis blues is the opponent ?	In which game the new york rangers has the opponent st. louis blues ?	115
what is the largest years inducted of all the different roles ?	what is the average years ?	what is the average years inducted of all the different roles ?	97
which incumbent has a district of massachusetts 2 ?	which party	which party has a district of massachusetts 2 ?	103
when did the earliest unveristy founded on the list ?	order all the universities by the founded year .	order all the universities by the founded year .	96
total number of players whose college was in laval	list these players	list players whose college was in laval	1
how many entries are shown for high points when the score was l 87 -- 89 ?	how about the score l 92–98 ?	how many entries are shown for high points when the score was l 92–98 ?	54
which got the higher score, minnesota or pittsburgh as home?	what are the socres of them ?	what are the socres of minnesota or pittsburgh as home ?	119
after november5,1999, david warry-smith directed how many titles?	remove after november5,1999	david warry-smith directed how many titles?	57
who had high points on december 12	how about on other date?	who had high points besides date december 12	54
who was the only player that has the pick number 16 after 1975	remove after 1975	who was the only player that has the pick number 16	80
what was the number of teams in the 1997	When did houston comets win the champion except for that season ?	When did houston comets win the champion except for 1997 ?	74
how many different sec win counts does the team with an overall record of 30-4 have ?	replace 30-4 by 26-9	how many different sec win counts does the team with an overall record of 26-9 have ?	81
what is team , when high rebounds is david lee 15 ?	show the date	what is date, when high rebounds is david lee 15 ?	54
In february8,2011, which title is aired ?	In february22,2011 ?	In february22,2011, which title is aired ?	44
what is the minimum number of f/laps in the italian formula renault 2.0 winter series ?	what about the maximum number?	what is the maximum number of f/laps in the italian formula renault 2.0 winter series ?	87
sum of the attendances of buffalo bandits and pittsburgh bulls	sum of attendances of other opponents ?	sum of attendances of opponents excluding buffalo bandits and pittsburgh bulls .	95
how many titles written by evan reilly were produced in 2006 ?	how about in 2007	how many titles written by evan reilly were produced in 2007 ?	86
sort all publications by rank , except the rank value –	from small to large.	sort all publications by rank from small to large, except the rank value –	32
name the inducted as for joe medwick category : articles with hcards .	let me see the years with dodgers of him .	let me see the years with dodgers of joe medwick category : articles with hcards.	97
for all teams, show their points diff	only for teams with tries for more than 30	for teams with tries for more than 30, show their points diff	56
what were the titles peter tolan was involved with?	how many are they?	how many are the titles peter tolan was involved with?	86
what position was brett morrison from canada ?	his nationality ?	what nationality was brett morrison from canada ?	64
grouped by the location, show sum of attendance	theen sorted by time	sorted by time, show sum of attendance	82
what 's auburn 's percentage ?	what about florida's	what 's florida's percentage ?	81
show sum of all players for each location and vfl games	if just for each vfl games?	show sum of all players for each vfl games	17
if the total number of seats is under 144 , and the seats won is 32 , which election is this ?	get rid of the seats won is 32	if the total number of seats is under 144 , which election is this ?	71
how many players come from northeastern ?	in those players, which have the pick less than 100 ?	in players come from northeastern, which have the pick less than 100 ?	110
in public institutions, which one has the maximum enrollment ?	how does it compare to private ?	compare public institutions which has the maximum enrollment to private .	100
what is the sum of the to par with a 73-73-71-70=287 score ?	how many players have larger score than that score ?	how many players have larger score than 73-73-71-70=287 ?	98
After august 1,2006, how many titles here	what about before august 1,2006	how many titles here before august 1,2006	86
what is the score of game 33 ?	show the record and date	what is the record and date of game 33 ?	54
In sandra lieb classification, how many are non-blues ?	how many are other classifications ?	In sandra lieb classification, how many are sandra lieb classification not non-blues ?	92
how many goals are there in year 1956–57	how about the leading scorer	how about the leading scorer in year 1956–57	53
List whole episodes grouped by challenge winner.	Added original airdate before january 14, 2009.	List whole episodes that original airdate before january 14, 2009 grouped by challenge winner.	23
how many weeks have more attendance than 80000 ?	how about than 70000 ?	how many weeks have more attendance than 70000 ?	65
how many locomotives did carriage shed have?	where type is steam	how many locomotives did carriage shed have where type is steam?	59
show the wkts and runs of beau casson .	show econ	show econ of beau casson .	34
for each stadium , shows their total attendance	added number of games	for each stadium , shows their total attendance and number of games	51
in how many games did maple leafs score the same score as the opponent?	and of those whose points is below 70	in how many games did maple leafs score the same score as the opponent and whose points is below 70?	72
what team did Boston Celtics play on april 23 ?	how about on february 4	what team did Boston Celtics play on february 4?	54
which work didn't ever win ?	but got the award best actress ?	which work didn't ever win but get the award best actress ?	118
name the only award in year 2010.	how many different awards in next year ?	how many different awards in 2011 ?	118
how many of the songs have a rank higher than 3rd ?	the total points of those songs got ?	the total points of songs have a rank higher than 3rd ?	66
The player who appears the most	the person should in toronto argonauts	list player who appears most in toronto argonauts	1
in which season, the team "wts racing" won 5 times	how about less than 5 times?	in which season, the team "wts racing" won less than 5 times	87
which players have ever meet antrim as opposition ?	sort them by total	sort players who have ever meet antrim as opposition by total	78
ordered by crowd, which citys were in top 3 ?	by the number of score ?	ordered by the number of score, which citys were in top 3 ?	99
other than european indoor championships, name a competition that won the 7th .	name all competitions which won the top 5 position.	name all competitions which won the top 5 position.	104
which institution was founded latest ?	what is its nickname	what is nickname of institution which founded latest	100
sum of the televotes between place 1 and 5 .	compare it to palce between 6 and 14 .	compare sum of the televotes whose place between 1 and 5 to palce between 6 and 14 .	94
what's the family of red deer ?	which name has the same family ?	which name has the family of red deer ?	39
in the year of 1965, which players served as the position of forward ?	How is it in all years ?	In all years, which players served as the position of forward ?	26
how many titles are produced during time from june25,1999 to october22,1999	what about from jan7,2000 to jan28,2000	how many titles are produced during time from jan7,2000 to jan28,2000	57
what is the average seats of election after 1981	what's the largest	what is the largest seats of election after 1981	71
For the institution university of cincinnati, what capacity does its home arena has	show its team website	For the institution university of cincinnati, what is the team website?	52
from october 9 to october 30, sum of all the attendance .	which one is the largest ?	from october 9 to october 30, show the largest attendance .	108
how many world club championships are there during 1 august 1997 .	get rid of the date limit	how many world club championships are there ?	99
display locals sorted by the number of pa in descending order .	sorted in ascending order	display locals sorted by the number of pa in ascending order .	42
which position has the highest percentage of players ?	show them for each college .	show position which has the highest percentage of players for each college.	33
what 's the average wins of those games with 3 podiums ?	what about the points ?	what 's the average points of those games with 3 podiums ?	70
which position has a pick greater than 28 ?	which is smaller than 10 ?	which position has a pick smaller than 10 ?	33
which company has a market value of 147.4 ?	go a step further, market value more than 180 ?	which company has a market value more than 180?	31
which players has the same years inducted ?	of those which have roles as manager ?	of players that has the same years inducted, which have roles as manager ?	97
which titles were in the series 5 ?	which titles were directed by richard correll?	which titles were in the series 5 and were directed by richard correll?	41
how many incumbents could re-elected after the elections ?	what if lost re-election democratic gain ?	how many incumbents could lost re-election democratic gain after the elections ?	103
show me the sum of total sales and assets of every company .	show them of every industry .	show me the sum of total sales and assets of every company .	31
for adam davidson, which title brought the most viewers ?	how about for ernest dickerson	for ernest dickerson, which episode brought him the most viewers?	40
statistics average attendance in week 1 and 4.	in week 4 and 5 ?	statistics average attendance in week 4 and 5.	47
According to the time, put these games in order	in descending order	According to the time, put these games in descending order	82
what place has a score greater than 68 , and camilo villegas as the player ?	less than 68, and player is john senden ?	what place has a score less than 68 , and player is john senden ?	67
are all the players from canada ?	show their round number .	show round number of all the players from canda .	80
what is the lowest draft of players from the usa ?	compare it to the highest one ?	compare the lowest and highest draft of players from the usa ?	80
what is zoe and matt 's rank ?	compare the rank to coleen and stuart	compare zoe and matt 's rank to coleen and stuart	21
How many players in the position guard ?	Sort them by the year from in ascending order .	Sort the players in the position guard by the year from in ascending order .	26
name the most game for december 22	how about december 23	name the most game for december 23	54
compare capacity of s&t bank arena to center ice sports complex	to bird arena	compare capacity of s&t bank arena to bird arena	52
who are the players with a t8 place ?	how much total money did they earn ?	how much total money did the players with a t8 place earn ?	98
How many riders are there for each lap?	for each lap and each grid .	How many riders are there for each lap and each grid .	77
which home arena in the table has the most capacity	and how about the least capacity?	which home arena in the table has the least capacity	52
show all universities from akron, cincinnati and kent.	which one is founded the earliest ?	which unveristy from akron, cincinnati and kent is founded the earliest ?	96
what was the score in the season against portland ?	show the record	what was the record in the season against portland ?	54
Is king philip high school has just 3 silver medals ?	for gold medals ?	Is king philip high school has just 3 gold medals ?	101
list game sites and their attendance in 1995-09-03, week 1.	in 1995-09-10 .	list game sites and their attendance in 1995-09-10 .	113
which to par has a player of emlyn aubrey ?	what country does he come from ?	what country does emlyn aubrey from ?	67
what is the highest season # for the writer daegan fryklind ?	how about for the writer wil zmak ?	what is the highest season # for the writer wil zmak ?	44
how many different regular seasons in this table	where year is from 2006 to 2010	how many different regular seasons in this table where year is from 2006 to 2010	61
Display winners grouped based on location	grouped by year	Display winners grouped based on year	24
what is doug ford 's country ?	what is his score ?	what is doug ford 's score ?	67
which competitions has the top ten attendance ?	sorted them by the amount of attendance .	sorted competitions has the top ten attendance by the amount of attendance .	120
when the ship is ffl vikings, what is the nationality ?	what is the fate ?	when the ship is ffl vikings, what is the fate ?	102
Did all the games happen in September?	what about November	Did all the games happen in November?	82
what is the name with the builder of kerr stuart	how about muir-hill	what is the name with the builder of muir-hill	59
what league is from the united states and a round smaller than 12 .	what if the round is 7	what league is from the united states and a round is 7.	64
which stadium accommodated the most crowd ?	the second most ?	which stadium accommodated the second most crowd ?	99
who are the opponents in the 1992 Philadelphia Wings season Game - april 4, 1992	how many attendances that day?	how many attendances in the 1992 Philadelphia Wings season Game - april 4, 1992	95
can you tell me the player that has the score larger than 67 ?	also from the country ireland ?	can you tell me the player that has the score larger than 67 from the country ireland ?	67
show the count of railways for each status	if for each location	show the count of railways for each location	59
please show the largest frame size of format names whose audio coding is pcm 4 ch/16 bit/48khz ?	show the smallest one.	please show the smallest frame size of format names whose audio coding is pcm 4 ch/16 bit/48khz ?	109
how much population does north west have ?	compare it with the population of northern cape	compare the population of north west and northern cape	89
what astronaut is the only with 10 total evas?	who has more total evas ?	what astronaut has total evas more than 10?	6
cfl team with most players	limit the position in te	cfl team with most players of the position in te	1
huskies was the nick name of which institution ?	show its founded year	show founded year of which institution huskies was the nick name	100
average of points for all seasons	for seasons between 1970 and 1975	average of points for seasons between 1970 and 1975	85
Which away team has the home team marathon ?	which have attendance over 3000 ?	Which away team has the home team marathon and have attendance over 3000 ?	117
are there any univeristy use blue and gold as school colors ?	compare the colors to miami university's .	compare blue and gold to miami university's colors.	96
which university has the most enrollment ?	what if the least ?	which university has the least enrollment ?	96
which championship has the crowd between 1000 and 2000 ?	sum of those crowd	sum of the crowd between 1000 and 2000	99
in what position did the highest number of points occur?	which player was in that position	which player was in position the highest number of points occur	8
what was the result in week 14 ?	in week 9 and week 10	what were the results in week 9 and week 10 ?	51
how many titles were directed by dan attias or written by ross brown ?	how many were directed by john tracy ?	how many titles were directed by john tracy or written by ross brown ?	41
tell me the number of locations which has 20,000 or more attendances.	what about locaations less than 20000 attendances	tell me the number of locations which has less than 20000 attendances.	82
which kind of locomotive has the type battery-electric	show its builder	show the builder of locomotive has the type battery-electric	59
for each country, show their amount of publications	how about for each year ?	for each year, show their amount of publications	32
which is the only skip with blank ends larger than 19?	Is its ends won more than 47 ?	Is ends won of the only skip with blank ends larger than 19 are more than 47 ?	42
what is michael and melanie 's rank ?	is it the rank 1?	is michael and melanie 's rank the rank 1?	21
Who is the title named "gone" directed by ?	How about "unsafe" ?	Who is the title named "unsafe" directed by ?	29
show all titles directed by william corcoran	where air date is in 1999	show all titles directed by william corcoran where air date is in 1999	57
what is the average points of all players	just in the position left halfback	what is the average points of all players in the position left halfback	8
name the average founded with joined less than 2008	less than 2009 ?	name the average founded with joined less than 2009 ?	100
what bike has an accident time , less than 9 laps , and a 5 grid ?	what has laps more than 15 ?	what bike has an accident time , more than 15 laps , and a 5 grid ?	77
which series has ranked top 5 in position ?	how about the position behind it ?	which series has ranked behind 5 in position ?	70
which university was founded before 1820 ?	how many enrollment are here ?	how many enrollment are in the university whic was founded before 1820 ?	96
Is there any season whose season mvp is equal to champion	in those seasons, which has no game held ?	in seasons whose season mvp is equal to champion, which has no game held ?	74
what was the original air date of the series after 78 , written by jenee v. giles ?	what was the production code ?	what was the production code of the series after 78 , written by jenee v. giles ?	49
david simon is teleplay of which title ?	name the director of that title .	name the director of which title david simon is teleplay .	40
who is the next player listed after john fenton ?	who is the next again?	who is the next of the next player listed after john fenton ?	78
which week has the most attendances	when in schaefer stadium	which week has the most attendances when in schaefer stadium	51
which episode is aired the earliest ?	show them directed by tim tim robbins for all time .	show episodes directed by tim tim robbins for all time .	40
if the episode was written by tim balme , what was the original air date ?	what was the director?	if the episode was written by tim balme , what was the director?	86
show all accompaniments, titles and document docd in 1923	just show titles .	show titles in 1923.	92
what was the highest pick for penn state ?	which player took that pick ?	which player took the highest pick for penn state ?	114
what's the engine of team while the chassis is reynard 94i	What if the chassis is reynard 95i ?	what's the engine of team while the chassis is reynard 95i	27
who was the rookie of the year for the season in 2000 ?	who was the season mvp ?	who was the season mvp in the season 2000 ?	74
what's the gap of sales between toyota and ubs .	between hsbc and bp ?	what's the gap of sales between hsbc and bp .	31
what is the lowest game number when the team is houston ?	show the bottom 2 game number	show the bottom 2 game number when the team is houston ?	54
are there any other nationality besides united states ?	List all the players of those nationality.	List all the players of the nationalities besides united states .	26
who are the writers of retards	who direct?	who are the director of retards	86
which college was player don oramasionwu from?	Any player else from the same college?	Any player except don oramasionwu was from the college player don oramasionwu from?	1
how many numbers were recorded for high points when the team played against Oklahoma City ?	show the date	show the date when the team played against Oklahoma City ?	54
how much gross profit did the 5nd rank title have?	what's director?	what is the director of 5nd rank title?	73
which home won the more times, motagua or platense ?	how about less ?	which home won the less times, motagua or platense ?	117
show titles by directors	just show in 2009	show titles by directors in 2009	3
Let me see the status of incumbent bob goodlatte	how about virgil goode	Let me see the status of incumbent virgil goode	84
list top 2 home arenas ordered by decending number of capacity	please show in ascending order	list top 2 home arenas ordered by ascending number of capacity	52
name the record for 23 game	for game 24 and 26	name the record for game 24 and 26	54
what was the team when vince carter had the high points ?	show the date and record	show the date and record when vince carter had the high points ?	54
sort couples using vote percentage	using total	sort couples using total	21
which left end player made the most points ?	get rid of position	which player made the most points ?	8
Sort the teams by home wins	by home losses	Sort the teams by home losses	22
how many pf catagories are listed for the skip that had 7 for l	had 4 for l ?	how many pf catagories are listed for the skip that had 4 for l	42
In which dates, which writer created book dead corps	how many issues of that book title ?	how many issues of book dead corps ?	7
who are the drivers located in the position 4 with laps of 217?	what's the class position	what's the class position in the position 4 with laps of 217?	83
show average height per position .	show them for each club .	show average height for each club .	37
what is the amount of players ?	sum runs of these players.	sum runs of players .	34
what is the average points of all players	just in the position left halfback	what is the average points of all players just in the position left halfback	8
name the team website for rockets	name the other team websites	name the team websites for team besides rockets	52
List all before the year 1995 .	Sort by the year .	List all before the year 1995 and Sort by the year .	30
show the amount of publications from country norway and uk .	sum of publicatins from those two countries .	sum of publicatins from country norway and uk .	32
what is the difference in position for season 1990 and 1989 of team wts racing	difference in points?	what is the difference in points for season 1990 and 1989 of team wts racing	87
what was the last university on the list?	which one is just before it ?	which univeristy is just before the last university on the list ?	96
where is the location of the athletics bowling green falcons	what is the university ?	what is the university of the athletics bowling green falcons ?	96
what are all members of European Union ?	who has population in thousands are more than 5000 ?	what are all members of European Union who has population in thousands are more than 5000 ?	79
which studio has the maximum roles ?	which owns easy living in those studios.	which studio has the maximum roles owns easy living ?	43
what are all the titles here ?	which was directed by richard correll ?	what are all the titles which was directed by richard correll ?	41
which country has a rank of 5 ?	how many international tourist arrivals in those countries ?	how many international tourist arrivals in the country has a rank of 5 ?	9
if the province is nunavut , what is the arabs 2011 amount ?	average of all provinces	average of arabs 2011 amount of all provinces	20
how many players' touchdowns is 1	how many is 2	how many players' touchdowns is 2	8
how many stolen ends were in skip brad gushue .	compare it to ends lost	how many stolen ends and ends lost were in skip brad gushue .	42
are there any DX4 S-Specs with a processor speed of 150 ?	what about processor speed 100?	are there any DX4 S-Specs with a processor speed of 100 ?	60
group the seasons based on champion and season mvp	just based on season mvp .	group the seasons based on season mvp .	74
which teams has more wins than their poles ?	how about other teams?	which teams has no more wins than their poles ?	87
What is tim young’s nationality?	what about john dobie's	what is john dobie's nationality?	80
which team has more points for than points against	how about more points against than points for	which team has more points against than points for	56
name all the opponents in week 1, 2 and 3.	limit those opponents in which record is 0–1 .	name all the opponents in week 1, 2 and 3 in which record is 0–1 .	5
what is the name of the team with a finish of 19 ?	a finish of 23 ?	what is the name of the team with a finish of 23 ?	27
name all the players for fullback	please show me points of that position	please show me points of fullback	8
In october14,2012, which episode was aired ?	group by u.s. viewers	In october14,2012, which episode was aired, group by u.s. viewers(millions)	40
show sum of all players for each location and vlf games	average of them	show average of all players for each location and vlf games	17
who was the home team for the game with platense as the away team and attendance under 529 ?	if with motagua as the away team	who was the home team for the game with motagua as the away team and attendance under 529 ?	117
Find the only opponent in league playoffs and in venue away .	which opponent was in the same venue ?	which opponent was in the venue away ?	120
what is the title of episode directed by whitney ransick ?	What is the production code ?	What is the production code of episode directed by whitney ransick ?	29
Is port elizabeth the largest city of eastern cape ?	compare the area of it with free state	compare the area of eastern cape with free state	89
what is location attendance , when high assists is alvin williams ( 9 ) ?	and the date is in december	what is location attendance , when high assists is alvin williams ( 9 ) and the date is in december	54
who was the highest drafted player that attended college at virginia ?	display them at northeastern .	display the highest drafted player that attended college at northeastern.	110
did leon best category or michael doyle category has won more championships ?	how's it going for isaac osbourne category and kevin kyle category ?	did isaac osbourne category or kevin kyle category has won more championships ?	105
Show all the titles in no. in season 1	Among them, what is the maximal u.s. viewers (millions)?	Among all the titles in no. in season 1, what is the maximal u.s. viewers (millions)?	18
In contrast to university of akron, what's the difference of enrollment in bowling green state wright state university	what if contrast to university of cincinnati ?	In contrast to university of cincinnati, what's the difference of enrollment in bowling green state wright state university	96
what is the lowest game , when opponent is `` boston bruins '' ?	how about the highest for all opponents	what is the highest game	115
get drama series that have the most hk viewers, with the finale more than 35	with the finale more than 37	get drama series that have the most hk viewers, with the finale more than 37	2
which leading scorer has the most goals in total	show top 5	which leading scorer has the top 5 goals in total	53
for state california, sum of their interview and swimsuit .	for all states, sum of them .	for all states, sum of their interview and swimsuit .	28
sort all the format names by video bit rate .	from large to small .	sort all the format names by video bit rate from large to small .	109
show top 5 cfl teams that have more than 3 positions	just more than 2	show top 5 cfl teams that have more than 2 positions	1
How many states that have interview less than 9.543 ?	Among them, how many states with swimsuit less than 9.400 ?	Among states that have interview less than 9.543, how may states with swimsuit less than 9.400 ?	28
which province has more population just than free state, eastern cape or limpopo ?	which has less population?	which province has less population just than free state, eastern cape or limpopo ?	89
what is the nationality of the player kevin stevens ?	what is the position of him ?	what is the position of the player kevin stevens ?	46
which incumbent has a district of massachusetts 8 ?	sum of them	sum of incumbent has a district of massachusetts 8 .	103
what was the game on january 26 played against ?	show its score	show the score of game on january 26 played against	54
which school's ihsaa class iseuqal to ihsaa football class ?	whose ihsaa class equal to aa ?	which school's ihsaa class iseuqal to ihsaa football class and ihsaa class equal to aa ?	35
which buildings are the top 5	which are top 3 ?	which buildings are the top 3 ?	38
which director earned the most gross in total ?	which is least?	which director earned the least gross in total ?	73
which club has the most ends win ?	how about ends lost ?	which club has the most ends lost ?	63
List other couples that have the same public as danny and frankie .	how about have the same judges as them ?	List other couples that have the same judges as danny and frankie	21
is the score 26-8 in the newcastle ?	what if wigan ?	is the score 26-8 in the wigan ?	99
what is the rank of player billy fitzpatrick ?	what is the total	what is the total of player billy fitzpatrick ?	78
name some provinces whose arabs 2001 was just greater than nova scotia	What if greater than new brunswick?	name some provinces whose arabs 2001 was just greater than new brunswick	20
divide the format names into different groups by frame size .	by the color sampling .	divide the format names into different groups by the color sampling .	109
how many titles contains "blues"	how many not ?	how many titles do not contain "blues" ?	92
which name has the most championship ?	did they has the most fa cup ?	did the name which has the most championship has the most fa cup ?	105
which stadium has the largest attendance, war memorial stadium, shea stadium or schaefer stadium ?	limited in miami orange bowl and shea stadium .	which stadium has the largest attendance, miami orange bowl or shea stadium ?	51
Show the list of states with top 5 average .	top 10 .	Show the list of states with top 10 average .	28
group the players based on the nfl team .	group colleges based on them .	group colleges based on the nfl team .	114
what are all the players of united states ?	what are all the players of other nationalities ?	what are all the players of all nationalities excluding united states ?	26
top 3 attendance number for each stadium .	what if top 5 ?	top 5 attendance number for each stadium .	5
in what year did nissim duk win first mens singles?	for player yitzhak serrouya	in what year did yitzhak serrouya win first mens singles?	10
which week has the result of bye ?	who is the opponent ?	who is the opponent which has the result of bye ?	47
what is the time of the honda cbr1000rr bike , which has less than 25 laps ?	the grid should be less than 15	what is the time of the honda cbr1000rr bike , which has less than 25 laps and less than 15 grids .	77
what was the original air date of the episode directed by gloria muzio ?	directed by ted humphrey and tom smuts	what was the original air date of the episode directed by ted humphrey and tom smuts .	45
